Seção;ID;Cenário de Teste / Passo a Passo;Resultado Esperado;Status (Sim/Não);Observações
Frontend - Cabeçalho e Navegação;TF-01;"Botão ""Anunciar Imóvel"" (Logado) - 1. Faça login na conta. 2. Na barra de navegação superior, clique no botão principal ""Anunciar Imóvel"".";O usuário deve ser redirecionado imediatamente para a rota /app/imoveis/novo;;
Frontend - Cabeçalho e Navegação;TF-02;"Botão ""Anunciar Imóvel"" (Deslogado) - 1. Garanta que está deslogado. 2. Na home (/), clique no botão ""Anunciar Imóvel"".";O usuário deve ser redirecionado para a tela de registro/cadastro /signup;;
Frontend - Cabeçalho e Navegação;TF-03;"Menu de Usuário Mobile (""Anunciar meu Imóvel"") - 1. Emulando visualização mobile, abra o menu sanduíche. 2. Clique em ""Anunciar meu Imóvel"".";Usuário logado vai para /app/imoveis/novo. Usuário deslogado é encaminhado para /signup;;
Frontend - Cabeçalho e Navegação;TF-04;"Botão ""Planos e Preços"" no Rodapé e Menu - 1. Clique no item ""Planos & Valores"" ou ""Planos e Preços"" no rodapé da página inicial.";Deve renderizar a página comercial de planos /planos sem quebras de layout;;
Frontend - Cabeçalho e Navegação;TF-05;"Logo ""imoB365"" (Link de Retorno) - 1. Clique no logo principal no cabeçalho estando em qualquer subpágina.";O sistema deve retornar à página inicial (/) de forma instantânea;;
Frontend - Recursos Visuais;TF-06;"Carregamento da Logo (Tema Escuro / Light) - 1. Acesse a landing page (/) e navegue entre o topo (fundo claro) e o rodapé (fundo escuro).";A logo logo-imob365.png deve aparecer perfeita no topo; e a versão logo-imob365-white.png visível no rodapé;;
Frontend - Recursos Visuais;TF-07;"Resiliência de Queda da Logo (Fallback) - 1. Para simular falha, adicione uma regra de bloqueio do asset de imagem no DevTools do navegador. 2. Recarregue a página.";O componente de logo deve interceptar a falha e renderizar uma versão textual/vetorial limpa e em alta escala (""im"" + LogoIcon + ""B365"");;
Frontend - Recursos Visuais;TF-08;"Ícone Favicon do Sistema - 1. Abra a aplicação em uma nova aba do navegador. 2. Olhe para a aba do browser.";Deve exibir o ícone oficial favicon.png de forma nítida na aba;;
Frontend - Recursos Visuais;TF-09;"Imagem de Background do Hero da Home - 1. Carregue a página inicial / e verifique a seção inicial de busca.";O fundo deve carregar a imagem hero-bg.jpg sem pixelização ou atrasos severos;;
Frontend - Planos e Limites;TF-10;"Plano ""Grátis"" / ""Starter"" em Destaque Inicial - 1. Acesse a página /planos deslogado e logado.";O plano gratuito deve ser o primeiro a esquerda da lista, indicando preço ""Grátis"" e limite de 25 imóveis e 3 usuários;;
